defense,param_value,trial,rmse,success
round,8,1,2.3043437243605824,0.77
round,8,2,2.367488120350343,0.84
round,8,3,2.3505318547086316,0.88
round,8,4,2.4093567606313515,0.83
round,8,5,2.2792542640082964,0.87
round,8,6,2.283637449333847,0.82
round,8,7,2.3937418407171647,0.83
round,8,8,2.3021728866442674,0.86
round,8,9,2.262741699796952,0.82
round,9,0,2.49899979991996,0.73
round,9,1,2.4413111231467406,0.78
round,9,2,2.5612496949731396,0.75
round,9,3,2.530810146968753,0.84
round,9,4,2.367488120350343,0.74
round,9,5,2.4758836806279896,0.82
round,9,6,2.4310491562286436,0.8
round,9,7,2.3874672772626644,0.79
round,9,8,2.449489742783178,0.8
round,9,9,2.4809272460110554,0.77
round,10,0,2.8870400066504103,0.75
round,10,1,2.7730849247724096,0.84
round,10,2,3.0091527046662154,0.83
round,10,3,2.977414986191881,0.81
round,10,4,2.7712812921102037,0.81
round,10,5,2.8870400066504103,0.76
round,10,6,3.0074906483645134,0.75
round,10,7,2.946183972531247,0.73
round,10,8,2.9521178838251023,0.69
round,10,9,3.032325840011261,0.78
round,11,0,3.4604912945996555,0.87
round,11,1,3.6138621999185303,0.83
round,11,2,3.6338684621213244,0.87
round,11,3,3.461213659975356,0.85
round,11,4,3.517101079013795,0.87
round,11,5,3.4964267474094175,0.82
round,11,6,3.442382895611701,0.81
round,11,7,3.433656942677879,0.86
round,11,8,3.472751070837068,0.86
round,11,9,3.31436268383531,0.81
round,12,0,3.9522145690739006,0.87
round,12,1,4.0877866871939394,0.87
round,12,2,4.29767378938886,0.89
round,12,3,3.9439827585830036,0.83
round,12,4,4.08166632639171,0.83
round,12,5,4.117644957982657,0.84
round,12,6,4.174925149029621,0.86
round,12,7,3.771604433129222,0.76
round,12,8,4.148493702538308,0.81
round,12,9,4.115215668710451,0.86
round,13,0,4.096950085124299,0.87
round,13,1,4.299418565341132,0.82
round,13,2,4.07982842776507,0.84
round,13,3,4.024301181571777,0.84
round,13,4,4.13158565202272,0.77
round,13,5,4.22729227756965,0.82
round,13,6,4.054626986542659,0.81
round,13,7,4.250294107470682,0.84
round,13,8,4.112177038990418,0.8
round,13,9,4.129164564412516,0.81
round,14,0,3.9382737335030433,0.78
round,14,1,3.837968212479098,0.74
round,14,2,4.069397989875161,0.81
round,14,3,4.00374824383352,0.75
round,14,4,3.9408120990476063,0.79
round,14,5,3.874274125562103,0.71
round,14,6,4.092676385936225,0.7
round,14,7,3.9899874686520005,0.69
round,14,8,4.266731770336635,0.73
round,14,9,4.08656334834051,0.77
round,15,0,4.013103537164223,0.74
round,15,1,3.502142201567492,0.72
round,15,2,3.792756253702576,0.67
round,15,3,3.4146742157927745,0.65
round,15,4,3.678994427829431,0.68
round,15,5,3.6345563690772495,0.69
round,15,6,3.558089374931439,0.65
round,15,7,3.635244145858707,0.69
round,15,8,3.6124783736376886,0.71
round,15,9,3.6796738985948196,0.65
round,16,0,3.274904578762563,0.69
round,16,1,3.5071355833500366,0.76
round,16,2,3.3324165405903265,0.62
round,16,3,3.237282811247729,0.68
round,16,4,3.277193921634788,0.61
round,16,5,3.3196385345395663,0.59
round,16,6,3.1913946794465895,0.5
round,16,7,3.057776970284131,0.62
round,16,8,3.59513560244951,0.63
round,16,9,3.280243893371345,0.63
round,17,0,2.853944638566067,0.54
round,17,1,2.989147035527025,0.55
round,17,2,3.0878795313289022,0.55
round,17,3,3.040559159102154,0.54
round,17,4,3.188259713385972,0.59
round,17,5,3.361547262794322,0.58
round,17,6,2.9274562336608896,0.58
round,17,7,2.9025850547399985,0.61
round,17,8,3.0708305065568173,0.53
round,17,9,2.8240042492885875,0.66
round,18,0,3.0683871985132516,0.54
round,18,1,3.163858403911275,0.55
round,18,2,2.930870177950569,0.54
round,18,3,3.1488092987667575,0.63
round,18,4,3.03315017762062,0.53
round,18,5,3.2093613071762426,0.59
round,18,6,3.0773365106858237,0.65
round,18,7,3.091116303214746,0.56
round,18,8,3.073271872125862,0.63
round,18,9,3.1827660925679098,0.52
round,19,0,3.391902121229326,0.61
round,19,1,3.271849629796577,0.57
round,19,2,3.4176014981270124,0.49
round,19,3,3.521363372331802,0.39
round,19,4,3.3874769371908644,0.57
