defense,param_value,trial,rmse,success
noise,7,4,6.654796227598805,0.67
noise,7,5,7.206535052240658,0.69
noise,7,6,6.705940501574397,0.57
noise,7,7,6.978730783035747,0.64
noise,7,8,6.576683058893426,0.67
noise,7,9,6.508510053395949,0.66
noise,8,0,8.134272508452128,0.61
noise,8,1,8.324981109204476,0.56
noise,8,2,8.404829308642766,0.62
noise,8,3,8.155366362721285,0.68
noise,8,4,8.232736256996581,0.59
noise,8,5,8.095918114942164,0.45
noise,8,6,8.54780383999096,0.6
noise,8,7,7.88867648624051,0.66
noise,8,8,8.020771318555397,0.58
noise,8,9,8.655355828126075,0.53
noise,9,0,9.038768862605783,0.63
noise,9,1,8.573374724806763,0.57
noise,9,2,9.18606833197539,0.62
noise,9,3,10.180863206002877,0.51
noise,9,4,9.032382310637516,0.68
noise,9,5,8.163929319451215,0.61
noise,9,6,8.877251565016412,0.7
noise,9,7,9.858549280120185,0.59
noise,9,8,9.153319019181728,0.47
noise,9,9,9.853798652824809,0.55
noise,10,0,10.487375427517355,0.63
noise,10,1,10.372653425437576,0.68
noise,10,2,9.880621361629265,0.55
noise,10,3,8.567298413093301,0.64
noise,10,4,10.43087727567941,0.56
noise,10,5,9.639892196035975,0.64
noise,10,6,9.57832529759022,0.63
noise,10,7,10.22979300064718,0.56
noise,10,8,10.657177470478954,0.59
noise,10,9,9.220734006001997,0.58
noise,11,0,11.121818045861145,0.65
noise,11,1,10.875514296075451,0.69
noise,11,2,10.305125424029125,0.6
noise,11,3,10.899573957814319,0.62
noise,11,4,10.905105723543787,0.61
noise,11,5,11.61163113670855,0.63
noise,11,6,11.241347694749962,0.56
noise,11,7,9.892886552243734,0.65
noise,11,8,10.019432387098028,0.63
noise,11,9,10.513656363584877,0.57
noise,12,0,11.504970327773615,0.53
noise,12,1,12.390446866735735,0.51
noise,12,2,12.037022414505909,0.65
noise,12,3,12.180086432305549,0.52
noise,12,4,12.029396980892258,0.61
noise,12,5,12.442653518084642,0.64
noise,12,6,12.692874650656478,0.57
noise,12,7,12.320067600619604,0.56
