defense,param_value,trial,rmse,success
sample,7,6,10.344667363291236,0.68
sample,7,7,12.21207164561161,0.68
sample,7,8,23.43087314477484,0.71
sample,7,9,12.879409290548592,0.66
sample,8,0,10.640723659601353,0.68
sample,8,1,9.58018788959799,0.67
sample,8,2,13.592185254770477,0.69
sample,8,3,9.914383490666477,0.67
sample,8,4,10.774506949276148,0.69
sample,8,5,19.678065199607403,0.7
sample,8,6,14.508316580499613,0.7
sample,8,7,9.307658137254505,0.67
sample,8,8,12.570650341171694,0.69
sample,8,9,24.993474148265182,0.72
sample,9,0,11.01052246436433,0.69
sample,9,1,13.785183941329775,0.66
sample,9,2,9.068065660040999,0.69
sample,9,3,9.496948827757105,0.68
sample,9,4,10.953983434642382,0.69
sample,9,5,20.14983993441923,0.71
sample,9,6,9.653055551558866,0.68
sample,9,7,10.195690205446226,0.67
sample,9,8,13.136792174727258,0.66
sample,9,9,9.355318022848927,0.68
sample,10,0,9.234987818075343,0.68
sample,10,1,9.726767191621274,0.67
sample,10,2,8.119729059519166,0.68
sample,10,3,8.667179472008181,0.69
sample,10,4,8.517041739947034,0.68
sample,10,5,10.330779254247958,0.67
sample,10,6,9.585927185202275,0.7
sample,10,7,9.145217329292946,0.69
sample,10,8,12.764207770167328,0.71
sample,10,9,13.856767299770896,0.66
sample,11,0,10.201575797901548,0.7
sample,11,1,8.147475905847383,0.69
sample,11,2,10.092903160878738,0.67
sample,11,3,9.949502666253482,0.7
sample,11,4,12.416118556135007,0.7
sample,11,5,9.170068990430563,0.68
sample,11,6,8.311681513795921,0.68
sample,11,7,10.98938819464314,0.7
sample,11,8,11.08698887498538,0.67
sample,11,9,13.50452021049628,0.66
sample,12,0,9.001080182091728,0.71
sample,12,1,9.080657098103273,0.71
sample,12,2,7.865077523104553,0.69
sample,12,3,9.900420866474988,0.7
sample,12,4,8.833836463658736,0.68
sample,12,5,14.22122826387838,0.66
sample,12,6,8.751571287488893,0.7
sample,12,7,7.466592261534039,0.7
sample,12,8,9.353846505285645,0.71
sample,12,9,8.547221770844606,0.68
sample,13,0,8.142079681411964,0.69
sample,13,1,7.7325198936262325,0.69
sample,13,2,8.310943096179217,0.7
sample,13,3,10.378177491608884,0.71
sample,13,4,9.545386754030643,0.71
sample,13,5,10.953418044788819,0.67
sample,13,6,8.053724927454413,0.7
sample,13,7,7.473733096019187,0.71
sample,13,8,9.31545766343715,0.68
sample,13,9,8.386536477166258,0.68
sample,14,0,7.121088256662999,0.7
sample,14,1,12.446223097299644,0.72
sample,14,2,8.186069551004167,0.71
sample,14,3,7.817882431597813,0.7
sample,14,4,9.224147546477328,0.72
sample,14,5,7.46139041591951,0.69
sample,14,6,11.003394652449353,0.72
sample,14,7,6.290039096598264,0.7
sample,14,8,12.437968532862985,0.67
sample,14,9,8.58741366590592,0.71
sample,15,0,7.192666017857666,0.7
sample,15,1,7.661157440839689,0.72
sample,15,2,9.479099816614093,0.72
sample,15,3,7.882575721171348,0.69
sample,15,4,11.83990427889235,0.74
sample,15,5,7.321202087089251,0.72
sample,15,6,7.50925355071254,0.71
sample,15,7,7.382938288904884,0.7
sample,15,8,7.869985175759015,0.69
sample,15,9,6.958527941390415,0.7
sample,16,0,7.177569226416419,0.72
sample,16,1,12.347115047653844,0.67
sample,16,2,16.20007716031007,0.76
sample,16,3,7.1553083441596,0.7
sample,16,4,7.153386435807868,0.72
sample,16,5,11.188722000300123,0.73
sample,16,6,8.73115828513033,0.73
sample,16,7,7.183052972100373,0.71
sample,16,8,8.64974710612975,0.73
sample,16,9,6.54219477698425,0.7
sample,17,0,7.81324733449765,0.73
sample,17,1,6.597406956275534,0.71
sample,17,2,10.141827295889732,0.74
sample,17,3,9.040755472612394,0.74
sample,17,4,6.853317333781404,0.71
sample,17,5,6.479867677746766,0.7
sample,17,6,7.049313446655933,0.7
sample,17,7,6.979998611950963,0.7
sample,17,8,14.208433579219301,0.76
sample,17,9,6.165202606840347,0.72
sample,18,0,6.576069598021656,0.71
sample,18,1,7.751626671182167,0.7
